Age,Gender,Work hours,Screen time,Sleep time,Exercise frequency,Mood Stability,Fatigue level,Headache,Social Connections,Work Stress,Personal Time Satisfaction,Overall_Balance_Score,Sleep_Hours
30 - 45,Male,More than 10 hours,2 - 4 hours,Less than 4 hours,1 - 2 times per week,Unstable,Exhausted,Never,Weak,High,Good,0,5.144158331166357
30 - 45,Female,More than 10 hours,Less than 2 hours,6 - 8 hours,1 - 2 times per week,Stable,Often tired,Sometimes,Strong,Medium,Good,1,6.777494478545605
16 - 21,Male,9 - 10 hours,4 - 6 hours,4 - 6 hours,Daily,Stable,Exhausted,Never,Strong,Low,Good,1,7.316059607891933
30 - 45,Male,More than 10 hours,Less than 2 hours,6 - 8 hours,1 - 2 times per week,Unstable,Often tired,Frequently,Moderate,Medium,Good,0,4.922896013993089
16 - 21,Female,More than 10 hours,Less than 2 hours,6 - 8 hours,Daily,Unstable,Exhausted,Sometimes,Moderate,Medium,Average,0,5.154994704355829
30 - 45,Female,Less than 7 hours,4 - 6 hours,Less than 4 hours,Never,Unstable,Often tired,Sometimes,Weak,Low,Good,1,7.1111529266313065
22 - 30,Female,9 - 10 hours,4 - 6 hours,6 - 8 hours,Daily,Unstable,Exhausted,Never,Moderate,Low,Good,1,7.045523611492902
30 - 45,Female,7 - 8 hours,More than 6 hours,6 - 8 hours,3 - 4 times per week,Stable,Fresh,Frequently,Moderate,Low,Good,2,8.931264066149119
16 - 21,Female,Less than 7 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Stable,Occasionally tired,Sometimes,Moderate,Medium,Good,2,8.616794696232922
16 - 21,Female,9 - 10 hours,2 - 4 hours,More than 8 hours,1 - 2 times per week,Neutral,Fresh,Sometimes,Weak,Medium,Poor,1,7.053726125980663
22 - 30,Female,Less than 7 hours,4 - 6 hours,4 - 6 hours,3 - 4 times per week,Stable,Occasionally tired,Never,Moderate,High,Good,2,7.609227538346741
30 - 45,Male,7 - 8 hours,More than 6 hours,More than 8 hours,Daily,Unstable,Occasionally tired,Never,Weak,Medium,Good,2,7.195344228012768
30 - 45,Male,7 - 8 hours,2 - 4 hours,More than 8 hours,Never,Neutral,Often tired,Frequently,Strong,Low,Average,2,8.368466053024314
22 - 30,Female,9 - 10 hours,2 - 4 hours,More than 8 hours,3 - 4 times per week,Unstable,Occasionally tired,Never,Moderate,Medium,Poor,1,6.539236726829633
30 - 45,Male,7 - 8 hours,2 - 4 hours,More than 8 hours,3 - 4 times per week,Stable,Fresh,Frequently,Weak,High,Average,2,7.880304987479203
30 - 45,Male,Less than 7 hours,More than 6 hours,Less than 4 hours,Daily,Neutral,Fresh,Sometimes,Moderate,High,Good,1,6.44038776639674
16 - 21,Male,7 - 8 hours,4 - 6 hours,More than 8 hours,1 - 2 times per week,Unstable,Exhausted,Frequently,Strong,Low,Average,1,7.214041733217771
30 - 45,Female,Less than 7 hours,Less than 2 hours,Less than 4 hours,Daily,Neutral,Fresh,Frequently,Weak,Low,Average,1,7.215170092018771
30 - 45,Female,Less than 7 hours,2 - 4 hours,Less than 4 hours,3 - 4 times per week,Neutral,Exhausted,Frequently,Weak,High,Good,0,4.739524263638502
22 - 30,Male,7 - 8 hours,More than 6 hours,More than 8 hours,3 - 4 times per week,Stable,Occasionally tired,Sometimes,Weak,High,Poor,1,7.300608477870155
22 - 30,Female,9 - 10 hours,More than 6 hours,6 - 8 hours,1 - 2 times per week,Unstable,Fresh,Never,Strong,High,Poor,0,6.28105456147979
45 - 60,Male,More than 10 hours,Less than 2 hours,Less than 4 hours,1 - 2 times per week,Neutral,Occasionally tired,Sometimes,Strong,Low,Average,0,5.687184907108097
16 - 21,Male,7 - 8 hours,Less than 2 hours,6 - 8 hours,1 - 2 times per week,Neutral,Fresh,Never,Strong,High,Good,2,7.244076469689558
30 - 45,Male,Less than 7 hours,More than 6 hours,6 - 8 hours,Daily,Unstable,Fresh,Frequently,Weak,High,Average,1,7.369860828834707
30 - 45,Male,Less than 7 hours,4 - 6 hours,More than 8 hours,1 - 2 times per week,Neutral,Exhausted,Frequently,Strong,Low,Average,1,6.767013598291407
45 - 60,Female,7 - 8 hours,Less than 2 hours,4 - 6 hours,3 - 4 times per week,Neutral,Occasionally tired,Frequently,Moderate,Medium,Average,1,6.752274442030799
30 - 45,Female,9 - 10 hours,More than 6 hours,More than 8 hours,3 - 4 times per week,Neutral,Fresh,Frequently,Strong,Medium,Good,2,7.99035382022254
16 - 21,Female,9 - 10 hours,Less than 2 hours,4 - 6 hours,Never,Unstable,Often tired,Frequently,Weak,High,Good,0,5.85820463828898
45 - 60,Male,Less than 7 hours,4 - 6 hours,4 - 6 hours,Daily,Unstable,Occasionally tired,Never,Moderate,Medium,Poor,1,7.197442768450163
16 - 21,Female,Less than 7 hours,2 - 4 hours,More than 8 hours,Never,Unstable,Occasionally tired,Never,Strong,Medium,Good,2,7.068777042230437
45 - 60,Male,9 - 10 hours,Less than 2 hours,More than 8 hours,3 - 4 times per week,Unstable,Occasionally tired,Frequently,Moderate,Medium,Average,0,6.078342477214677
45 - 60,Female,More than 10 hours,4 - 6 hours,4 - 6 hours,Never,Stable,Exhausted,Sometimes,Moderate,Medium,Average,0,5.496884397858114
22 - 30,Male,7 - 8 hours,More than 6 hours,More than 8 hours,3 - 4 times per week,Neutral,Often tired,Sometimes,Weak,High,Poor,0,4.673840576174848
16 - 21,Male,Less than 7 hours,Less than 2 hours,4 - 6 hours,Never,Unstable,Occasionally tired,Frequently,Moderate,Medium,Good,1,6.9749458961666475
30 - 45,Male,Less than 7 hours,Less than 2 hours,6 - 8 hours,1 - 2 times per week,Neutral,Fresh,Never,Moderate,Medium,Average,1,7.052950315886555
30 - 45,Female,9 - 10 hours,More than 6 hours,More than 8 hours,Never,Neutral,Fresh,Sometimes,Weak,Low,Poor,1,7.193689004154152
16 - 21,Female,7 - 8 hours,2 - 4 hours,6 - 8 hours,1 - 2 times per week,Stable,Exhausted,Sometimes,Weak,High,Poor,0,5.574213083637096
30 - 45,Female,9 - 10 hours,More than 6 hours,Less than 4 hours,1 - 2 times per week,Unstable,Fresh,Sometimes,Weak,Low,Average,0,5.673682236041758
30 - 45,Female,7 - 8 hours,Less than 2 hours,6 - 8 hours,Daily,Unstable,Occasionally tired,Frequently,Moderate,Low,Average,2,8.818640804157564
16 - 21,Male,7 - 8 hours,More than 6 hours,6 - 8 hours,1 - 2 times per week,Neutral,Fresh,Sometimes,Moderate,High,Good,1,7.33500801272635
45 - 60,Female,7 - 8 hours,4 - 6 hours,4 - 6 hours,1 - 2 times per week,Unstable,Occasionally tired,Sometimes,Moderate,Medium,Poor,0,5.99087894836866
16 - 21,Female,Less than 7 hours,More than 6 hours,6 - 8 hours,Never,Neutral,Fresh,Sometimes,Weak,Low,Average,1,6.506992735277303
45 - 60,Male,More than 10 hours,Less than 2 hours,More than 8 hours,3 - 4 times per week,Neutral,Often tired,Sometimes,Strong,High,Poor,0,5.363319092459359
30 - 45,Male,9 - 10 hours,More than 6 hours,4 - 6 hours,Daily,Stable,Exhausted,Never,Moderate,Medium,Good,1,6.563374428959916
30 - 45,Male,More than 10 hours,2 - 4 hours,Less than 4 hours,1 - 2 times per week,Stable,Exhausted,Frequently,Strong,High,Average,0,4.7551606055911275
30 - 45,Female,9 - 10 hours,More than 6 hours,More than 8 hours,Daily,Stable,Often tired,Frequently,Weak,Low,Good,2,7.517559963200034
22 - 30,Male,7 - 8 hours,2 - 4 hours,Less than 4 hours,Never,Neutral,Often tired,Never,Moderate,Medium,Poor,0,5.067551811597449
45 - 60,Male,Less than 7 hours,4 - 6 hours,6 - 8 hours,1 - 2 times per week,Unstable,Exhausted,Never,Strong,Medium,Good,1,6.140972909761303
22 - 30,Male,More than 10 hours,2 - 4 hours,More than 8 hours,Never,Stable,Often tired,Frequently,Moderate,High,Good,0,5.22616459279727
22 - 30,Female,Less than 7 hours,More than 6 hours,More than 8 hours,Daily,Unstable,Occasionally tired,Sometimes,Moderate,Medium,Poor,1,6.867420211494261
16 - 21,Male,9 - 10 hours,Less than 2 hours,Less than 4 hours,Never,Stable,Fresh,Sometimes,Moderate,Low,Good,1,6.053913410695113
22 - 30,Female,Less than 7 hours,2 - 4 hours,More than 8 hours,Daily,Stable,Exhausted,Frequently,Strong,Low,Poor,2,8.325044568707964
16 - 21,Female,Less than 7 hours,4 - 6 hours,More than 8 hours,Never,Neutral,Often tired,Sometimes,Weak,Low,Average,1,6.69839702719869
16 - 21,Male,More than 10 hours,2 - 4 hours,More than 8 hours,Daily,Stable,Occasionally tired,Never,Moderate,High,Poor,1,6.813966952061365
22 - 30,Male,7 - 8 hours,2 - 4 hours,6 - 8 hours,3 - 4 times per week,Stable,Exhausted,Sometimes,Weak,Medium,Poor,1,6.429811878192426
45 - 60,Female,Less than 7 hours,2 - 4 hours,Less than 4 hours,Never,Neutral,Often tired,Sometimes,Weak,Medium,Average,0,5.791834482663202
45 - 60,Male,7 - 8 hours,4 - 6 hours,More than 8 hours,Never,Unstable,Exhausted,Sometimes,Strong,Medium,Poor,1,6.886249890853517
45 - 60,Male,9 - 10 hours,More than 6 hours,4 - 6 hours,3 - 4 times per week,Stable,Often tired,Frequently,Strong,Low,Average,1,6.045750374908574
45 - 60,Female,Less than 7 hours,2 - 4 hours,4 - 6 hours,3 - 4 times per week,Neutral,Exhausted,Never,Weak,Medium,Average,0,5.641556609337824
45 - 60,Female,More than 10 hours,2 - 4 hours,4 - 6 hours,Never,Stable,Occasionally tired,Sometimes,Moderate,Low,Poor,0,5.2121934517956925
22 - 30,Male,9 - 10 hours,Less than 2 hours,4 - 6 hours,3 - 4 times per week,Neutral,Occasionally tired,Frequently,Strong,Medium,Good,2,7.623422152178822
22 - 30,Female,9 - 10 hours,4 - 6 hours,6 - 8 hours,1 - 2 times per week,Unstable,Fresh,Sometimes,Moderate,Low,Good,1,6.056022283123822
30 - 45,Male,More than 10 hours,2 - 4 hours,More than 8 hours,Daily,Unstable,Exhausted,Never,Moderate,Medium,Average,0,6.47303049758596
45 - 60,Male,Less than 7 hours,4 - 6 hours,Less than 4 hours,Daily,Neutral,Fresh,Sometimes,Moderate,High,Good,2,8.040136042355622
22 - 30,Male,Less than 7 hours,2 - 4 hours,More than 8 hours,Daily,Neutral,Exhausted,Never,Weak,High,Good,1,7.233900840989487
30 - 45,Female,9 - 10 hours,More than 6 hours,6 - 8 hours,1 - 2 times per week,Neutral,Often tired,Sometimes,Moderate,Low,Poor,1,6.5402859621168945
45 - 60,Male,Less than 7 hours,More than 6 hours,4 - 6 hours,3 - 4 times per week,Unstable,Often tired,Never,Weak,Low,Average,0,5.711549638713774
16 - 21,Male,7 - 8 hours,2 - 4 hours,6 - 8 hours,3 - 4 times per week,Stable,Fresh,Sometimes,Weak,Medium,Average,2,8.09342055868656
30 - 45,Male,More than 10 hours,More than 6 hours,More than 8 hours,Never,Unstable,Exhausted,Never,Moderate,Medium,Poor,0,4.974453583471989
22 - 30,Female,7 - 8 hours,2 - 4 hours,Less than 4 hours,3 - 4 times per week,Neutral,Fresh,Sometimes,Moderate,High,Good,1,6.1905907689778275
16 - 21,Female,Less than 7 hours,More than 6 hours,6 - 8 hours,Never,Neutral,Occasionally tired,Sometimes,Moderate,Medium,Average,1,6.783364890082207
16 - 21,Female,9 - 10 hours,Less than 2 hours,Less than 4 hours,1 - 2 times per week,Unstable,Fresh,Frequently,Moderate,Low,Good,1,7.154990329647916
16 - 21,Female,More than 10 hours,Less than 2 hours,6 - 8 hours,Daily,Neutral,Fresh,Frequently,Weak,Low,Average,2,7.369708911051054
30 - 45,Female,Less than 7 hours,Less than 2 hours,Less than 4 hours,Daily,Unstable,Often tired,Never,Moderate,Low,Average,0,4.7035649452408075
22 - 30,Male,Less than 7 hours,4 - 6 hours,Less than 4 hours,Daily,Neutral,Fresh,Sometimes,Moderate,Low,Average,2,8.939169255529118
16 - 21,Female,9 - 10 hours,4 - 6 hours,4 - 6 hours,3 - 4 times per week,Stable,Exhausted,Never,Weak,Low,Average,0,4.805718278368664
45 - 60,Female,9 - 10 hours,Less than 2 hours,Less than 4 hours,Never,Stable,Often tired,Frequently,Strong,High,Good,0,4.991915456769016
16 - 21,Female,7 - 8 hours,4 - 6 hours,4 - 6 hours,Never,Neutral,Fresh,Never,Strong,High,Good,1,6.323731541245265
16 - 21,Male,More than 10 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Unstable,Occasionally tired,Never,Weak,Low,Good,1,6.9343357137285
30 - 45,Female,More than 10 hours,2 - 4 hours,More than 8 hours,3 - 4 times per week,Stable,Fresh,Frequently,Strong,Medium,Good,2,8.550265646722229
30 - 45,Female,9 - 10 hours,2 - 4 hours,4 - 6 hours,1 - 2 times per week,Unstable,Fresh,Sometimes,Weak,Low,Poor,0,4.821362746519111
22 - 30,Male,7 - 8 hours,2 - 4 hours,4 - 6 hours,Never,Neutral,Fresh,Never,Moderate,High,Average,0,4.873134048102612
45 - 60,Female,More than 10 hours,Less than 2 hours,6 - 8 hours,Never,Unstable,Often tired,Frequently,Moderate,Low,Average,0,5.070190337387694
30 - 45,Male,9 - 10 hours,4 - 6 hours,6 - 8 hours,Daily,Stable,Exhausted,Sometimes,Strong,High,Average,1,6.128021197490652
16 - 21,Male,Less than 7 hours,More than 6 hours,6 - 8 hours,3 - 4 times per week,Unstable,Occasionally tired,Frequently,Moderate,High,Poor,1,6.077522581752912
22 - 30,Male,More than 10 hours,More than 6 hours,More than 8 hours,Never,Unstable,Fresh,Never,Strong,Low,Good,1,6.797031947352222
16 - 21,Male,7 - 8 hours,Less than 2 hours,6 - 8 hours,Daily,Neutral,Exhausted,Sometimes,Strong,Low,Average,2,8.878997883128378
16 - 21,Male,7 - 8 hours,More than 6 hours,Less than 4 hours,3 - 4 times per week,Neutral,Exhausted,Sometimes,Moderate,Medium,Good,1,6.810952682415159
30 - 45,Female,7 - 8 hours,More than 6 hours,Less than 4 hours,1 - 2 times per week,Neutral,Often tired,Frequently,Moderate,High,Good,0,4.846747190589509
22 - 30,Male,Less than 7 hours,More than 6 hours,6 - 8 hours,3 - 4 times per week,Stable,Occasionally tired,Frequently,Strong,Medium,Poor,2,8.789654700855298
45 - 60,Male,More than 10 hours,More than 6 hours,Less than 4 hours,3 - 4 times per week,Stable,Often tired,Frequently,Moderate,Low,Poor,0,6.29353084925285
45 - 60,Female,More than 10 hours,4 - 6 hours,More than 8 hours,Never,Neutral,Exhausted,Sometimes,Weak,High,Good,0,4.660467491323285
30 - 45,Male,Less than 7 hours,More than 6 hours,Less than 4 hours,Never,Neutral,Exhausted,Sometimes,Moderate,Medium,Average,0,5.549022779140509
30 - 45,Female,More than 10 hours,2 - 4 hours,More than 8 hours,3 - 4 times per week,Stable,Exhausted,Never,Moderate,Medium,Average,1,6.95614485224731
22 - 30,Female,Less than 7 hours,Less than 2 hours,4 - 6 hours,Never,Stable,Often tired,Sometimes,Weak,Medium,Poor,0,5.320793653979323
45 - 60,Female,Less than 7 hours,4 - 6 hours,4 - 6 hours,Never,Stable,Occasionally tired,Never,Moderate,Low,Poor,1,7.089137000583992
45 - 60,Male,Less than 7 hours,More than 6 hours,4 - 6 hours,Never,Stable,Fresh,Frequently,Moderate,Low,Poor,1,7.463778119193802
45 - 60,Male,7 - 8 hours,4 - 6 hours,4 - 6 hours,Daily,Neutral,Often tired,Frequently,Strong,Low,Poor,1,6.774450522451793
16 - 21,Male,More than 10 hours,More than 6 hours,Less than 4 hours,Daily,Stable,Exhausted,Sometimes,Moderate,High,Poor,0,6.464757233817213
45 - 60,Female,Less than 7 hours,2 - 4 hours,6 - 8 hours,3 - 4 times per week,Neutral,Often tired,Frequently,Moderate,Low,Poor,2,8.195799957622171
16 - 21,Male,More than 10 hours,Less than 2 hours,Less than 4 hours,Never,Unstable,Exhausted,Frequently,Weak,High,Poor,0,4.724077804336105
22 - 30,Male,7 - 8 hours,More than 6 hours,More than 8 hours,Daily,Unstable,Fresh,Sometimes,Strong,Medium,Average,1,6.484434709411869
16 - 21,Male,Less than 7 hours,More than 6 hours,Less than 4 hours,3 - 4 times per week,Stable,Fresh,Never,Strong,Medium,Poor,1,7.192779292153055
22 - 30,Female,9 - 10 hours,More than 6 hours,Less than 4 hours,Never,Unstable,Occasionally tired,Sometimes,Strong,Low,Poor,0,5.2957111980914835
45 - 60,Female,7 - 8 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Unstable,Exhausted,Never,Moderate,Medium,Average,0,6.4389408665507375
45 - 60,Male,9 - 10 hours,Less than 2 hours,4 - 6 hours,Never,Unstable,Occasionally tired,Sometimes,Strong,Low,Average,0,6.23101425178796
22 - 30,Male,More than 10 hours,Less than 2 hours,4 - 6 hours,Never,Stable,Occasionally tired,Sometimes,Weak,High,Good,0,6.13414414189856
30 - 45,Male,More than 10 hours,2 - 4 hours,4 - 6 hours,Daily,Stable,Fresh,Frequently,Strong,Medium,Poor,1,6.406248376893111
22 - 30,Male,7 - 8 hours,Less than 2 hours,6 - 8 hours,3 - 4 times per week,Unstable,Often tired,Sometimes,Weak,Low,Poor,1,6.658457131058454
30 - 45,Female,More than 10 hours,More than 6 hours,More than 8 hours,3 - 4 times per week,Neutral,Often tired,Sometimes,Strong,Medium,Poor,1,6.117684572013399
16 - 21,Female,9 - 10 hours,2 - 4 hours,More than 8 hours,Daily,Unstable,Occasionally tired,Never,Strong,Medium,Poor,1,6.038026115123186
16 - 21,Female,Less than 7 hours,2 - 4 hours,Less than 4 hours,Never,Stable,Fresh,Frequently,Weak,Low,Good,1,7.443972622016887
16 - 21,Female,Less than 7 hours,2 - 4 hours,6 - 8 hours,1 - 2 times per week,Stable,Exhausted,Never,Strong,Medium,Average,1,7.253970180768309
45 - 60,Male,Less than 7 hours,More than 6 hours,4 - 6 hours,Never,Stable,Often tired,Never,Strong,Medium,Average,0,5.015805654089879
16 - 21,Male,7 - 8 hours,4 - 6 hours,6 - 8 hours,Never,Unstable,Occasionally tired,Frequently,Strong,Medium,Poor,1,7.043961309140547
30 - 45,Male,More than 10 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Neutral,Often tired,Frequently,Moderate,Medium,Poor,0,4.841775174780132
16 - 21,Female,9 - 10 hours,Less than 2 hours,More than 8 hours,Daily,Stable,Often tired,Frequently,Weak,High,Poor,0,5.837286439848862
22 - 30,Male,More than 10 hours,Less than 2 hours,Less than 4 hours,3 - 4 times per week,Stable,Exhausted,Sometimes,Strong,Medium,Good,1,6.613429416621405
22 - 30,Female,More than 10 hours,More than 6 hours,Less than 4 hours,Daily,Unstable,Fresh,Frequently,Weak,Medium,Good,1,6.259941480106269
45 - 60,Female,More than 10 hours,More than 6 hours,More than 8 hours,Daily,Neutral,Exhausted,Frequently,Weak,Low,Average,1,6.234655564006629
22 - 30,Male,Less than 7 hours,2 - 4 hours,4 - 6 hours,Never,Unstable,Fresh,Frequently,Weak,High,Poor,0,6.358751978255172
30 - 45,Male,9 - 10 hours,More than 6 hours,4 - 6 hours,3 - 4 times per week,Stable,Often tired,Never,Strong,Low,Poor,1,6.375364347246893
16 - 21,Male,9 - 10 hours,2 - 4 hours,6 - 8 hours,3 - 4 times per week,Neutral,Occasionally tired,Never,Strong,Low,Poor,2,8.843748470046233
45 - 60,Female,More than 10 hours,Less than 2 hours,More than 8 hours,Daily,Neutral,Exhausted,Sometimes,Weak,Low,Poor,1,6.8238399970591805
16 - 21,Male,Less than 7 hours,2 - 4 hours,More than 8 hours,1 - 2 times per week,Stable,Fresh,Never,Moderate,High,Good,1,7.071893884050094
16 - 21,Female,Less than 7 hours,More than 6 hours,4 - 6 hours,Daily,Neutral,Often tired,Sometimes,Weak,Low,Average,1,6.990296065076597
30 - 45,Male,9 - 10 hours,Less than 2 hours,4 - 6 hours,1 - 2 times per week,Neutral,Fresh,Never,Moderate,Low,Average,1,6.419900845418915
22 - 30,Female,Less than 7 hours,4 - 6 hours,More than 8 hours,3 - 4 times per week,Unstable,Fresh,Frequently,Weak,Low,Good,2,7.176985004103839
22 - 30,Female,Less than 7 hours,2 - 4 hours,Less than 4 hours,Daily,Stable,Fresh,Never,Weak,Medium,Poor,1,7.432297920994792
16 - 21,Male,Less than 7 hours,Less than 2 hours,More than 8 hours,Never,Stable,Often tired,Sometimes,Weak,Low,Average,1,7.106845375043653
45 - 60,Female,7 - 8 hours,2 - 4 hours,More than 8 hours,Daily,Stable,Occasionally tired,Never,Strong,High,Average,2,7.391965724838291
22 - 30,Female,More than 10 hours,Less than 2 hours,4 - 6 hours,3 - 4 times per week,Stable,Occasionally tired,Frequently,Moderate,High,Good,0,5.61352578602786
45 - 60,Male,9 - 10 hours,Less than 2 hours,4 - 6 hours,Never,Stable,Occasionally tired,Sometimes,Moderate,Medium,Poor,0,5.6432253789398
22 - 30,Female,9 - 10 hours,2 - 4 hours,Less than 4 hours,Never,Neutral,Fresh,Frequently,Weak,High,Average,0,5.059958187320568
45 - 60,Male,7 - 8 hours,4 - 6 hours,Less than 4 hours,1 - 2 times per week,Unstable,Often tired,Frequently,Strong,High,Poor,0,6.038985866383873
30 - 45,Female,More than 10 hours,Less than 2 hours,6 - 8 hours,Never,Stable,Fresh,Sometimes,Strong,Medium,Average,1,6.831531078767101
45 - 60,Male,9 - 10 hours,Less than 2 hours,More than 8 hours,Never,Unstable,Occasionally tired,Frequently,Moderate,Low,Good,1,6.917581119351528
30 - 45,Male,Less than 7 hours,Less than 2 hours,4 - 6 hours,Daily,Unstable,Occasionally tired,Frequently,Strong,Medium,Poor,1,6.629400093641685
30 - 45,Female,9 - 10 hours,4 - 6 hours,Less than 4 hours,3 - 4 times per week,Neutral,Often tired,Never,Moderate,Low,Good,1,6.371596484251736
45 - 60,Female,Less than 7 hours,4 - 6 hours,6 - 8 hours,1 - 2 times per week,Stable,Fresh,Frequently,Moderate,Low,Average,2,7.090454577821076
30 - 45,Female,7 - 8 hours,More than 6 hours,6 - 8 hours,Daily,Neutral,Exhausted,Frequently,Moderate,High,Good,1,6.533959017976892
16 - 21,Female,Less than 7 hours,2 - 4 hours,4 - 6 hours,Never,Stable,Exhausted,Frequently,Strong,Medium,Good,1,7.1367691656965535
30 - 45,Female,9 - 10 hours,4 - 6 hours,4 - 6 hours,Never,Neutral,Occasionally tired,Frequently,Moderate,High,Good,0,4.874087497115047
22 - 30,Male,9 - 10 hours,2 - 4 hours,6 - 8 hours,1 - 2 times per week,Unstable,Often tired,Sometimes,Moderate,High,Average,0,5.147358472808487
45 - 60,Female,9 - 10 hours,More than 6 hours,Less than 4 hours,3 - 4 times per week,Stable,Fresh,Never,Weak,Low,Poor,1,6.021590232944634
16 - 21,Male,7 - 8 hours,2 - 4 hours,6 - 8 hours,1 - 2 times per week,Unstable,Fresh,Frequently,Moderate,High,Good,0,5.350872877232834
45 - 60,Male,7 - 8 hours,4 - 6 hours,More than 8 hours,Daily,Unstable,Occasionally tired,Frequently,Moderate,Medium,Poor,2,7.650660661526529
22 - 30,Female,More than 10 hours,2 - 4 hours,More than 8 hours,1 - 2 times per week,Neutral,Occasionally tired,Sometimes,Weak,High,Average,0,5.51522075736891
22 - 30,Male,9 - 10 hours,4 - 6 hours,4 - 6 hours,Never,Stable,Fresh,Frequently,Weak,High,Poor,0,4.98481946483016
22 - 30,Male,Less than 7 hours,2 - 4 hours,Less than 4 hours,Daily,Unstable,Fresh,Sometimes,Strong,Low,Good,2,7.777354579378964
30 - 45,Male,7 - 8 hours,4 - 6 hours,Less than 4 hours,Never,Neutral,Occasionally tired,Never,Moderate,Medium,Good,1,6.174108960760375
30 - 45,Male,9 - 10 hours,4 - 6 hours,More than 8 hours,3 - 4 times per week,Stable,Fresh,Never,Strong,High,Good,2,7.542698063547792
45 - 60,Female,9 - 10 hours,2 - 4 hours,6 - 8 hours,Never,Stable,Exhausted,Frequently,Strong,Low,Good,1,6.069003963032629
45 - 60,Male,7 - 8 hours,More than 6 hours,4 - 6 hours,Never,Unstable,Occasionally tired,Frequently,Weak,High,Good,0,4.729673649478407
16 - 21,Female,More than 10 hours,Less than 2 hours,6 - 8 hours,1 - 2 times per week,Stable,Fresh,Frequently,Strong,Medium,Good,2,8.65747501830386
16 - 21,Female,7 - 8 hours,More than 6 hours,6 - 8 hours,Never,Unstable,Occasionally tired,Sometimes,Moderate,High,Average,0,5.721240084883265
45 - 60,Male,7 - 8 hours,2 - 4 hours,6 - 8 hours,Daily,Stable,Often tired,Frequently,Weak,High,Average,1,6.061093203478455
30 - 45,Female,Less than 7 hours,More than 6 hours,Less than 4 hours,Daily,Neutral,Occasionally tired,Frequently,Moderate,Low,Average,2,7.713506653387179
22 - 30,Female,Less than 7 hours,4 - 6 hours,More than 8 hours,3 - 4 times per week,Unstable,Occasionally tired,Never,Moderate,High,Poor,1,7.28319087601651
45 - 60,Female,More than 10 hours,Less than 2 hours,Less than 4 hours,Daily,Unstable,Often tired,Frequently,Weak,Low,Poor,0,5.0772611064805115
16 - 21,Male,9 - 10 hours,2 - 4 hours,More than 8 hours,1 - 2 times per week,Stable,Exhausted,Never,Moderate,Medium,Average,0,5.662476442845224
30 - 45,Female,7 - 8 hours,2 - 4 hours,4 - 6 hours,3 - 4 times per week,Stable,Fresh,Frequently,Weak,High,Poor,0,4.808725430548405
45 - 60,Female,More than 10 hours,2 - 4 hours,4 - 6 hours,Daily,Unstable,Often tired,Never,Moderate,Medium,Poor,0,5.462280203709635
45 - 60,Female,Less than 7 hours,Less than 2 hours,6 - 8 hours,1 - 2 times per week,Stable,Occasionally tired,Frequently,Weak,Medium,Good,2,7.561869019374761
30 - 45,Male,7 - 8 hours,4 - 6 hours,More than 8 hours,Daily,Neutral,Fresh,Never,Strong,High,Good,2,8.085392166316497
45 - 60,Female,9 - 10 hours,2 - 4 hours,More than 8 hours,Daily,Stable,Often tired,Sometimes,Moderate,Low,Poor,1,7.055486789070035
30 - 45,Male,Less than 7 hours,More than 6 hours,More than 8 hours,Never,Neutral,Fresh,Never,Weak,Medium,Poor,1,6.711260743630988
22 - 30,Male,Less than 7 hours,2 - 4 hours,6 - 8 hours,Daily,Neutral,Fresh,Never,Moderate,Medium,Average,2,7.281848449949525
30 - 45,Male,Less than 7 hours,2 - 4 hours,6 - 8 hours,Daily,Neutral,Often tired,Never,Moderate,High,Poor,1,6.146751240976502
30 - 45,Male,More than 10 hours,2 - 4 hours,4 - 6 hours,1 - 2 times per week,Neutral,Fresh,Frequently,Moderate,High,Good,0,5.565178865103172
30 - 45,Male,9 - 10 hours,2 - 4 hours,Less than 4 hours,1 - 2 times per week,Neutral,Exhausted,Frequently,Weak,High,Poor,0,4.603647073644854
45 - 60,Male,7 - 8 hours,4 - 6 hours,More than 8 hours,Never,Stable,Often tired,Frequently,Strong,High,Average,0,5.173208556387841
45 - 60,Female,More than 10 hours,More than 6 hours,More than 8 hours,Daily,Neutral,Exhausted,Sometimes,Strong,High,Good,1,6.737423812675249
30 - 45,Male,More than 10 hours,4 - 6 hours,Less than 4 hours,Never,Stable,Occasionally tired,Sometimes,Strong,High,Good,0,4.7688293538779485
45 - 60,Female,More than 10 hours,More than 6 hours,More than 8 hours,Daily,Neutral,Fresh,Never,Weak,Low,Good,2,8.60439396150808
16 - 21,Female,Less than 7 hours,2 - 4 hours,6 - 8 hours,3 - 4 times per week,Unstable,Occasionally tired,Sometimes,Strong,Medium,Good,2,7.149101287359541
16 - 21,Male,9 - 10 hours,Less than 2 hours,6 - 8 hours,3 - 4 times per week,Neutral,Occasionally tired,Never,Weak,Low,Poor,2,8.973773873201035
45 - 60,Female,More than 10 hours,4 - 6 hours,More than 8 hours,Never,Unstable,Fresh,Never,Moderate,Low,Average,0,4.626749940945535
